seed,arm,step,task_id,group_class,correct_count,unique_programs,unique_correct_programs,sample_entropy_nats,collision_fraction,mean_reward,cumulative_tasks_reached,cumulative_unique_correct_programs
0,control,81,e19815e575c67d65d6d6,all_wrong,0,5,0,1.4941751382893083,0.14285714285714285,0.0,9,6
0,control,82,b8610bc345dfbc4c2b94,all_wrong,0,1,0,-0.0,1.0,0.0,9,6
0,control,83,528d3d894d60c2b26473,all_wrong,0,3,0,0.9743147528693494,0.32142857142857145,0.0,9,6
0,control,84,6fe6428696d1bda6dcdb,all_wrong,0,3,0,1.0397207708399179,0.2857142857142857,0.0,9,6
0,control,85,6fddb775dfc78fbffd3f,mixed,1,3,1,0.7356219397587946,0.5357142857142857,0.125,10,6
0,control,86,d62b9ce05813dccdbae5,mixed,1,6,1,1.6674619334292948,0.10714285714285714,0.125,11,6
0,control,87,4db70371d92b545bd09e,all_wrong,0,6,0,1.6674619334292948,0.10714285714285714,0.0,11,6
0,control,88,ef175a0420dcffd4a635,all_wrong,0,4,0,1.2130075659799042,0.25,0.0,11,6
0,control,89,22196ceeee8485da3677,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,11,6
0,control,90,70802cd8dfb912800eac,mixed,3,5,1,1.4941751382893085,0.14285714285714285,0.375,12,7
0,control,91,e6d56dad889595b1db3b,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,12,7
0,control,92,dc55e5d72251ed53732b,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,12,7
0,control,93,fcb3ba347163d9983308,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,12,7
0,control,94,1abb8f5eb5e604d3bb10,all_wrong,0,1,0,-0.0,1.0,0.0,12,7
0,control,95,7dd7d737d3b8c0981663,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,12,7
0,control,96,4abba5ed5683e973a9b5,all_wrong,0,2,0,0.5623351446188083,0.5714285714285714,0.0,12,7
0,control,97,596fd88d55ffccc82db1,all_wrong,0,4,0,1.2554823251787537,0.21428571428571427,0.0,12,7
0,control,98,9247fc6a258fa2c52946,all_wrong,0,1,0,-0.0,1.0,0.0,12,7
0,control,99,d5bdbdb166afffeb25da,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,12,7
0,control,100,8491a8968779a6ac5e3b,all_wrong,0,4,0,1.2130075659799042,0.25,0.0,12,7
0,control,101,ff3131068ead3bdc67f5,mixed,3,3,1,1.0821955300387671,0.25,0.375,13,8
0,control,102,0f3d59ce3c2ca503cb3a,all_wrong,0,1,0,-0.0,1.0,0.0,13,8
0,control,103,bd67c5f394cd058b6a30,all_wrong,0,3,0,0.7356219397587946,0.5357142857142857,0.0,13,8
0,control,104,947d983c078d61eb73dc,all_wrong,0,5,0,1.3862943611198906,0.21428571428571427,0.0,13,8
0,control,105,941d1659e299d32b5509,mixed,5,2,1,0.6615632381579821,0.4642857142857143,0.625,14,8
0,control,106,8981c8a2bbb0f7338850,all_wrong,0,4,0,1.2130075659799042,0.25,0.0,14,8
0,control,107,34c2c231b3b0bb437382,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,14,8
0,control,108,da8d740dbe335398ce88,mixed,6,2,1,0.5623351446188083,0.5714285714285714,0.75,15,8
0,control,109,76f90bf6e885e69b0a89,all_wrong,0,7,0,1.9061547465398496,0.03571428571428571,0.0,15,8
0,control,110,9db8536e4fd843db257f,mixed,4,3,1,0.9743147528693494,0.32142857142857145,0.5,16,9
0,control,111,f528410ef35f647cdf70,mixed,2,4,1,1.3208883431493221,0.17857142857142858,0.25,17,10
0,control,112,9886fb653aa0e0f98c6c,all_wrong,0,3,0,0.7356219397587946,0.5357142857142857,0.0,17,10
0,control,113,d1e9cd7b0c49ad949db2,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,17,10
0,control,114,fe0b9f9eb2341c473ef3,all_wrong,0,3,0,1.0397207708399179,0.2857142857142857,0.0,17,10
0,control,115,873684023f572450072f,all_wrong,0,5,0,1.559581156259877,0.10714285714285714,0.0,17,10
0,control,116,947517d0d59a19a72ad7,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,17,10
0,control,117,c0e8bc1fb6092159dd6f,all_wrong,0,4,0,1.0735428464085233,0.35714285714285715,0.0,17,10
0,control,118,6ce79849a45a488c196d,all_wrong,0,2,0,0.5623351446188083,0.5714285714285714,0.0,17,10
0,control,119,05b0a2384ae6a380c7d2,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,17,10
0,control,120,48809c9ccc0ba30c59c9,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,17,10
0,control,121,8d2e2c51a12026ae3f10,all_wrong,0,1,0,-0.0,1.0,0.0,17,10
0,control,122,05e55afea76e67ea6ccc,mixed,7,2,1,0.37677016125643675,0.75,0.875,18,10
0,control,123,650c00763900b7f4e071,all_wrong,0,1,0,-0.0,1.0,0.0,18,10
0,control,124,194b465fc259ddd42d3c,all_wrong,0,1,0,-0.0,1.0,0.0,18,10
0,control,125,78d4a79b4b77193c2a38,all_wrong,0,1,0,-0.0,1.0,0.0,18,10
0,control,126,64c3e013c7bba3ab8a30,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,18,10
0,control,127,7bab8dea0d18f5ff37cb,all_wrong,0,2,0,0.6615632381579821,0.4642857142857143,0.0,18,10
0,control,128,23376bee554fd8074c0c,all_wrong,0,1,0,-0.0,1.0,0.0,18,10
0,control,129,93823a7cc4df2d29e9d1,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,18,10
0,control,130,9146fc6fb12cdebc55c7,all_wrong,0,4,0,1.2130075659799042,0.25,0.0,18,10
0,control,131,468a783e528f80469a12,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,18,10
0,control,132,4d303008bd587932a929,all_wrong,0,5,0,1.559581156259877,0.10714285714285714,0.0,18,10
0,control,133,1f0d8a6c547ab1be9881,all_wrong,0,3,0,0.9743147528693494,0.32142857142857145,0.0,18,10
0,control,134,2550c7a734bf9d1df18f,all_wrong,0,1,0,-0.0,1.0,0.0,18,10
0,control,135,dc89697610c74fca8a66,all_wrong,0,3,0,0.9743147528693494,0.32142857142857145,0.0,18,10
0,control,136,61487b72c6261bf53073,all_wrong,0,3,0,0.9743147528693494,0.32142857142857145,0.0,18,10
0,control,137,dbd98eaa0810481218b4,mixed,1,2,1,0.37677016125643675,0.75,0.125,19,10
0,control,138,b86ae3e6251fe7792e14,all_wrong,0,4,0,1.2554823251787537,0.21428571428571427,0.0,19,10
0,control,139,cd0d39d8b07b3b99d88a,all_wrong,0,6,0,1.6674619334292948,0.10714285714285714,0.0,19,10
0,control,140,7b388d98ae0d944f1925,all_wrong,0,3,0,1.0397207708399179,0.2857142857142857,0.0,19,10
0,control,141,0942ca362c9bb4e92156,all_correct,8,1,1,-0.0,1.0,1.0,20,10
0,control,142,5a8613d101df5db899bd,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,20,10
0,control,143,9fbac876b450cde1cadf,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,20,10
0,control,144,5abe24088e2cc62a64de,all_wrong,0,3,0,1.0397207708399179,0.2857142857142857,0.0,20,10
0,control,145,8c6e2943c4bb9c2e5cda,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,20,10
0,control,146,fe5aace7fc6d828a6d44,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,20,10
0,control,147,18bb600571e811780aeb,all_wrong,0,3,0,0.9743147528693494,0.32142857142857145,0.0,20,10
0,control,148,ce61e0eb7137279c8cfb,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,20,10
0,control,149,9777165aa1a5c0f1b439,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,20,10
0,control,150,46b190e25d53f7f5f817,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,20,10
0,entropy,1,344e65a062c043b7d4f1,all_wrong,0,3,0,0.7356219397587946,0.5357142857142857,0.0,0,0
0,entropy,2,ff8e32ab6bd1b8ccbd62,mixed,1,4,1,1.0735428464085233,0.35714285714285715,0.125,1,1
0,entropy,3,acd00e67c207b241a9cb,mixed,2,2,1,0.5623351446188083,0.5714285714285714,0.25,2,2
0,entropy,4,55e041f525a03550457f,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,2,2
0,entropy,5,7823aeee84310d484a67,all_wrong,0,1,0,-0.0,1.0,0.0,2,2
0,entropy,6,2853ebfbf4ff1fef974a,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,2,2
0,entropy,7,4eb9d2f867a1743e1f5a,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,2,2
0,entropy,8,eb7b85e4ff7846becf1d,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,2,2
0,entropy,9,9a4f281f7c0a352a29d6,mixed,6,3,1,0.7356219397587946,0.5357142857142857,0.75,3,3
0,entropy,10,f1752a0aba86c25de9b1,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,3,3
0,entropy,11,c0b94ee8f8bd2e7f22d3,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,3,3
0,entropy,12,8fd5c706abca9e556c21,all_wrong,0,1,0,-0.0,1.0,0.0,3,3
0,entropy,13,295c1c6b0676ebeaafb8,all_wrong,0,1,0,-0.0,1.0,0.0,3,3
0,entropy,14,92618aede71d2a8a4da7,all_wrong,0,1,0,-0.0,1.0,0.0,3,3
0,entropy,15,04be5cc9a0a5f0df27d5,all_wrong,0,3,0,0.9002560512685369,0.39285714285714285,0.0,3,3
