seed,arm,k,hit_k
1,control,14,0.253
1,control,15,0.26
1,control,16,0.269
1,control,17,0.28
1,control,18,0.293
1,control,19,0.307
1,control,20,0.313
1,control,21,0.327
1,control,22,0.338
1,control,23,0.35
1,control,24,0.366
1,control,25,0.382
1,control,26,0.4
1,control,27,0.416
1,control,28,0.431
1,control,29,0.445
1,control,30,0.456
1,control,31,0.477
1,control,32,0.503
1,control,33,0.515
1,control,34,0.526
1,control,35,0.534
1,control,36,0.544
1,control,37,0.556
1,control,38,0.561
1,control,39,0.573
1,control,40,0.582
1,control,41,0.593
1,control,42,0.602
1,control,43,0.612
1,control,44,0.619
1,control,45,0.629
1,control,46,0.634
1,control,47,0.644
1,control,48,0.651
1,control,49,0.655
1,control,50,0.66
1,control,51,0.664
1,control,52,0.673
1,control,53,0.678
1,control,54,0.683
1,control,55,0.691
1,control,56,0.697
1,control,57,0.705
1,control,58,0.71
1,control,59,0.715
1,control,60,0.721
1,control,61,0.721
1,control,62,0.727
1,control,63,0.734
1,control,64,0.741
1,control,65,0.749
1,control,66,0.752
1,control,67,0.76
1,control,68,0.764
1,control,69,0.771
1,control,70,0.774
1,control,71,0.782
1,control,72,0.788
1,control,73,0.795
1,control,74,0.802
1,control,75,0.806
1,control,76,0.814
1,control,77,0.819
1,control,78,0.823
1,control,79,0.828
1,control,80,0.836
1,control,81,0.84
1,control,82,0.846
1,control,83,0.851
1,control,84,0.854
1,control,85,0.858
1,control,86,0.863
1,control,87,0.865
1,control,88,0.875
1,control,89,0.88
1,control,90,0.886
1,control,91,0.891
1,control,92,0.904
1,control,93,0.909
1,control,94,0.911
1,control,95,0.912
1,control,96,0.917
1,control,97,0.922
1,control,98,0.925
1,control,99,0.931
1,control,100,0.935
1,control,101,0.937
1,control,102,0.939
1,control,103,0.942
1,control,104,0.944
1,control,105,0.949
1,control,106,0.95
1,control,107,0.954
1,control,108,0.959
1,control,109,0.966
1,control,110,0.967
1,control,111,0.97
1,control,112,0.972
1,control,113,0.975
1,control,114,0.979
1,control,115,0.981
1,control,116,0.985
1,control,117,0.989
1,control,118,0.994
1,control,119,0.995
1,control,120,0.999
1,control,121,0.999
1,control,122,1.0
1,control,123,1.0
1,control,124,1.0
1,control,125,1.0
1,entropy,1,0.014
1,entropy,2,0.035
1,entropy,3,0.048
1,entropy,4,0.077
1,entropy,5,0.095
1,entropy,6,0.117
1,entropy,7,0.153
1,entropy,8,0.167
1,entropy,9,0.182
1,entropy,10,0.192
1,entropy,11,0.205
1,entropy,12,0.223
1,entropy,13,0.237
1,entropy,14,0.252
1,entropy,15,0.267
1,entropy,16,0.278
1,entropy,17,0.285
1,entropy,18,0.299
1,entropy,19,0.316
1,entropy,20,0.324
1,entropy,21,0.334
1,entropy,22,0.341
1,entropy,23,0.361
1,entropy,24,0.381
1,entropy,25,0.396
1,entropy,26,0.409
1,entropy,27,0.423
1,entropy,28,0.441
1,entropy,29,0.457
1,entropy,30,0.471
1,entropy,31,0.48
1,entropy,32,0.496
1,entropy,33,0.509
1,entropy,34,0.52
1,entropy,35,0.535
1,entropy,36,0.54
1,entropy,37,0.545
1,entropy,38,0.554
1,entropy,39,0.566
1,entropy,40,0.575
1,entropy,41,0.583
1,entropy,42,0.59
1,entropy,43,0.598
1,entropy,44,0.61
1,entropy,45,0.617
1,entropy,46,0.627
1,entropy,47,0.632
1,entropy,48,0.64
1,entropy,49,0.645
1,entropy,50,0.653
1,entropy,51,0.66
1,entropy,52,0.67
1,entropy,53,0.676
1,entropy,54,0.679
1,entropy,55,0.687
1,entropy,56,0.693
1,entropy,57,0.7
1,entropy,58,0.704
1,entropy,59,0.708
1,entropy,60,0.714
1,entropy,61,0.719
1,entropy,62,0.719
1,entropy,63,0.727
1,entropy,64,0.733
1,entropy,65,0.737
1,entropy,66,0.741
1,entropy,67,0.748
1,entropy,68,0.751
1,entropy,69,0.756
1,entropy,70,0.76
1,entropy,71,0.763
1,entropy,72,0.767
1,entropy,73,0.77
1,entropy,74,0.774
1,entropy,75,0.78
1,entropy,76,0.787
1,entropy,77,0.795
1,entropy,78,0.798
1,entropy,79,0.802
1,entropy,80,0.803
1,entropy,81,0.809
1,entropy,82,0.812
1,entropy,83,0.814
1,entropy,84,0.82
1,entropy,85,0.83
1,entropy,86,0.838
1,entropy,87,0.844
1,entropy,88,0.847
1,entropy,89,0.848
1,entropy,90,0.857
1,entropy,91,0.869
1,entropy,92,0.878
1,entropy,93,0.88
1,entropy,94,0.887
1,entropy,95,0.891
1,entropy,96,0.898
1,entropy,97,0.901
1,entropy,98,0.906
1,entropy,99,0.912
1,entropy,100,0.922
1,entropy,101,0.925
1,entropy,102,0.927
1,entropy,103,0.932
1,entropy,104,0.937
1,entropy,105,0.94
1,entropy,106,0.944
1,entropy,107,0.951
1,entropy,108,0.953
1,entropy,109,0.958
1,entropy,110,0.963
1,entropy,111,0.967
1,entropy,112,0.971
1,entropy,113,0.975
1,entropy,114,0.977
1,entropy,115,0.982
1,entropy,116,0.986
1,entropy,117,0.989
1,entropy,118,0.992
1,entropy,119,0.994
1,entropy,120,0.999
1,entropy,121,0.999
1,entropy,122,1.0
1,entropy,123,1.0
1,entropy,124,1.0
1,entropy,125,1.0
