model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,bigram,minus_bias_only,200,200,0.03514389636148927,0.0015123570770401043,0.0,0.07,0.155,0.31,0.495,0.765,1.0,0.0015123570770401043,0.011768885253159278,0.022819351534683376,0.04297665305794557,0.07677624011034548,0.1068085137608793,0.12393723912203664
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,bigram,shuffled_program_bias,200,200,0.09291578741176959,0.02606223120562337,0.03,0.19,0.305,0.485,0.75,0.955,1.0,0.02606223120562337,0.06917713157176351,0.08668159402295593,0.10318618878294782,0.1175405067437814,0.1262887516273635,0.13070488185672885
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,positional_bigram,own_target,200,200,0.0821401647874,0.020386545852200424,0.015,0.175,0.35,0.54,0.8,0.935,1.0,0.020386545852200424,0.07296885631075942,0.10838532037309725,0.1535690829527537,0.20781830261387474,0.2475470038084065,0.26862881760501645
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,positional_bigram,minus_bias_only,200,200,0.03514389636148927,0.0015123570770400982,0.0,0.07,0.155,0.31,0.495,0.765,1.0,0.0015123570770400982,0.011768885253159231,0.022819351534683296,0.04297665305794543,0.07677624011034528,0.10680851376087908,0.1239372391220364
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,positional_bigram,shuffled_program_bias,200,200,0.09291578741176959,0.026062231205623364,0.03,0.19,0.305,0.485,0.75,0.955,1.0,0.026062231205623364,0.06917713157176364,0.08668159402295608,0.103186188782948,0.11754050674378158,0.1262887516273637,0.13070488185672904
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,full,own_target,200,200,0.09474451128795135,0.022610409684225036,0.035,0.19,0.31,0.505,0.815,0.96,1.0,0.022610409684225036,0.12762830583596899,0.19783871459138136,0.28299560903619275,0.3766769775097172,0.43931688509416117,0.47071191343365165
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,full,minus_bias_only,200,200,0.031184165274938776,0.004103245696313217,0.0,0.04,0.14,0.215,0.49,0.745,1.0,0.004103245696313217,0.030056650708393636,0.05481524763942985,0.09320054447100933,0.14365506609617484,0.17919115138372907,0.19712594530902905
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,full,shuffled_program_bias,200,200,0.09898660938234716,0.030621810917781177,0.03,0.17,0.295,0.465,0.755,0.95,1.0,0.030621810917781177,0.09543428122260414,0.12189289833430557,0.14549459344990545,0.16462914842847506,0.1756564107214428,0.18108845755753833
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,train_frequency,task_blind,200,200,0.07661139764621193,0.022584761904761903,0.015,0.1475,0.273,0.605,0.87125,1.0,1.0,0.022584761904761903,0.1632201000493237,0.2928084959791996,0.48125881257170655,0.6964288627361668,0.8187367236456996,0.8692977157523072
Qwen/Qwen3-0.6B,0,atomic_control,,dev_C,C,3,score,train_antifrequency,task_blind,200,200,0.014179615320010273,0.0011873236021688425,0.0,0.0,0.0,0.0,0.3766666666666667,0.8457142857142855,1.0,0.0011873236021688425,0.009447212271611634,0.018778073417212424,0.03709755052038183,0.07241363541682257,0.11014106533919668,0.13516137344557785
