model,seed,arm,evaluation_set,family,depth,score_key,method,target_control,tasks,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-0.6B,2,atomic_control,dev_A,A,3,score,unigram,own_target,200,0.1140667917054578,0.039510800594295986,0.045,0.22,0.405,0.545,0.8,0.93,1.0,0.039510800594295986,0.07640143830164256,0.0906415213568566,0.10757106565907482,0.1268239091161378,0.13993643869525596,0.1467173138450527
Qwen/Qwen3-0.6B,2,atomic_control,dev_A,A,3,score,bigram,own_target,200,0.15064299764542224,0.04496088630341265,0.07,0.29,0.38,0.61,0.81,0.95,1.0,0.04496088630341265,0.15454427534995382,0.20101118591821782,0.24643935225680239,0.29055684504385193,0.3191599583071353,0.33362830351897116
Qwen/Qwen3-0.6B,2,atomic_control,dev_A,A,3,score,full,own_target,200,0.1449813378476727,0.04335820822924401,0.055,0.3,0.415,0.605,0.83,0.965,1.0,0.04335820822924401,0.20077933420679783,0.27686123718001715,0.3527075853693752,0.4280217092586474,0.4771831846757611,0.5019476183187921
Qwen/Qwen3-0.6B,2,atomic_control,dev_B,B,3,score,raw,own_target,200,0.03107886773098348,0.00025984237800880035,0.0,0.005,0.16,0.285,0.65,0.93,1.0,0.00025984237800880035,0.0018688630921352195,0.003343574774655356,0.005515831519985462,0.008300405962542168,0.010530935586283903,0.011894346838715075
Qwen/Qwen3-0.6B,2,atomic_control,dev_B,B,3,score,unigram,own_target,200,0.03444160064273343,0.00032493733990317285,0.0,0.005,0.135,0.375,0.75,0.935,1.0,0.00032493733990317285,0.002224012298755377,0.0037905362018778466,0.005808804033122058,0.008065409357565936,0.009855922200882234,0.010978672787824268
Qwen/Qwen3-0.6B,2,atomic_control,dev_B,B,3,score,bigram,own_target,200,0.060817907093613524,0.009115741592557177,0.01,0.1,0.235,0.48,0.71,0.92,1.0,0.009115741592557177,0.04906212181656795,0.07556063735473395,0.10960831660337426,0.1501625893666121,0.1794872762239007,0.19519395250758634
Qwen/Qwen3-0.6B,2,atomic_control,dev_B,B,3,score,full,own_target,200,0.09212374308734446,0.02056108515738889,0.04,0.135,0.205,0.445,0.745,0.865,1.0,0.02056108515738889,0.10172066341396191,0.1459282093702748,0.1957744589573586,0.2516904555204247,0.2914009280221254,0.3123096662325574
Qwen/Qwen3-0.6B,2,atomic_control,dev_C,C,3,score,raw,own_target,200,0.08457594931549323,0.018073857031599697,0.02,0.165,0.295,0.535,0.765,0.92,1.0,0.018073857031599697,0.031305096015377974,0.037854883321834204,0.046619164144476,0.05876158991378102,0.06898856157332603,0.07491318509658257
Qwen/Qwen3-0.6B,2,atomic_control,dev_C,C,3,score,unigram,own_target,200,0.08209063290771168,0.016609271438332667,0.015,0.16,0.35,0.515,0.77,0.91,1.0,0.016609271438332667,0.03255976630621635,0.04400973811277808,0.06012939866880687,0.08157842654999026,0.09774000565612172,0.10630376732923644
Qwen/Qwen3-0.6B,2,atomic_control,dev_C,C,3,score,bigram,own_target,200,0.09641597019102024,0.02662508599206782,0.03,0.19,0.34,0.545,0.805,0.935,1.0,0.02662508599206782,0.0940754380341222,0.1286638045958339,0.1694506358915708,0.21783810653316443,0.25314113815296824,0.271738202486446
Qwen/Qwen3-0.6B,2,atomic_control,dev_C,C,3,score,full,own_target,200,0.10386391286226239,0.03215861072570167,0.025,0.2,0.33,0.535,0.79,0.96,1.0,0.03215861072570167,0.14998252415533056,0.2176187688512438,0.29337599303603573,0.37252727133567,0.4235580374384624,0.44844356089410825
Qwen/Qwen3-0.6B,2,atomic_control,dev_D,D,3,score,raw,own_target,200,0.028218614052213608,8.468185405526452e-05,0.0,0.0,0.11,0.255,0.62,0.91,1.0,8.468185405526452e-05,0.0006736803109994889,0.001338828806035799,0.0026441309820133072,0.005158798250753465,0.007844032999504282,0.009625111604165208
Qwen/Qwen3-0.6B,2,atomic_control,dev_D,D,3,score,unigram,own_target,200,0.033400955477835975,0.00019062384089268378,0.0,0.015,0.145,0.37,0.72,0.955,1.0,0.00019062384089268378,0.0014189564751570973,0.0026265261652127815,0.004567841718131961,0.0072854062484730775,0.009436959080736019,0.010676874764837927
Qwen/Qwen3-0.6B,2,atomic_control,dev_D,D,3,score,bigram,own_target,200,0.06217394683009992,0.010432434000630637,0.015,0.09,0.215,0.42,0.695,0.91,1.0,0.010432434000630637,0.05202023744200981,0.0767582704659183,0.10790534537120315,0.14608633623779207,0.17341702451410343,0.18762569096871518
Qwen/Qwen3-0.6B,2,atomic_control,dev_D,D,3,score,full,own_target,200,0.0824010996039262,0.020333020235148606,0.035,0.125,0.235,0.41,0.69,0.85,1.0,0.020333020235148606,0.0955393958010424,0.13518986462301946,0.1810841945569146,0.2327019300295874,0.2689751261791364,0.2881572428303999
Qwen/Qwen3-0.6B,2,composition,dev_A,A,3,score,raw,own_target,200,0.2980927361074876,0.11217863601074995,0.14,0.56,0.695,0.875,0.995,1.0,1.0,0.11217863601074994,0.43358859281435885,0.5816081183968275,0.7268251662146865,0.8480511145150075,0.9062243860265313,0.9287961067648665
Qwen/Qwen3-0.6B,2,composition,dev_A,A,3,score,unigram,own_target,200,0.22259578212460393,0.10037260411142956,0.11,0.425,0.61,0.83,0.97,1.0,1.0,0.10037260411142956,0.35737611285054477,0.4915157341024067,0.6402559891835233,0.7777366681788075,0.8474262510539728,0.8751312822548867
Qwen/Qwen3-0.6B,2,composition,dev_A,A,3,score,bigram,own_target,200,0.2653651254470067,0.0886715789651631,0.13,0.5,0.64,0.84,0.97,0.995,1.0,0.0886715789651631,0.3613309600869178,0.502840369060989,0.6529855760149337,0.7905852515196315,0.863745688725831,0.8940054849933767
Qwen/Qwen3-0.6B,2,composition,dev_A,A,3,score,full,own_target,200,0.25958298922412903,0.09231560128064906,0.125,0.465,0.59,0.81,0.96,0.995,1.0,0.09231560128064906,0.3649433477673833,0.5006049239901902,0.6458216746837643,0.7853775745324134,0.8615708105074686,0.8929194520737381
Qwen/Qwen3-0.6B,2,composition,dev_B,B,3,score,raw,own_target,200,0.016039562820767787,0.002225892182300351,0.0,0.0,0.0,0.065,0.38,0.71,1.0,0.002225892182300351,0.01747034309585693,0.03419678964640236,0.06557451693296994,0.12100248436696077,0.17364713851603675,0.2052668510302546
