model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,positional_bigram,minus_bias_only,200,200,0.0376294373760988,0.005845484788295143,0.0,0.045,0.105,0.235,0.57,0.865,1.0,0.005845484788295143,0.03801327319019272,0.06254269025678326,0.09333677691562162,0.12881387185970378,0.15359926718858719,0.16613576422282378
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,positional_bigram,shuffled_program_bias,200,200,0.12427969820454124,0.06242269926604061,0.07,0.205,0.305,0.52,0.78,0.905,1.0,0.06242269926604061,0.07638853775485206,0.08142850874504265,0.08872326688978596,0.09796706112584941,0.10477524835881588,0.10848443513042592
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,full,own_target,200,200,0.10317525948445258,0.023244942798658776,0.03,0.195,0.34,0.565,0.815,0.94,1.0,0.023244942798658776,0.13519918451028165,0.21391687042375893,0.30966872488685476,0.41304911190873883,0.47862143234989885,0.5100409270197899
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,full,minus_bias_only,200,200,0.04057061818294038,0.007673187763721636,0.0,0.08,0.125,0.285,0.615,0.875,1.0,0.007673187763721636,0.05044032701999434,0.08296566758584956,0.12108392071087408,0.15806138701739803,0.1819629297040736,0.1946757890499493
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,full,shuffled_program_bias,200,200,0.11560043832454406,0.05948467211442647,0.06,0.165,0.3,0.5,0.795,0.915,1.0,0.05948467211442647,0.07055400020670191,0.07704301182108778,0.08461810243799213,0.09284545768079312,0.09881650118000192,0.10199552226555021
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,train_frequency,task_blind,200,200,0.07518410567300605,0.023230476190476194,0.015,0.1275,0.312,0.65,0.8675,1.0,1.0,0.023230476190476194,0.16773864595650576,0.3004712403400752,0.49205271419594004,0.7069391248841798,0.8262803491206725,0.8749736050486825
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,train_antifrequency,task_blind,200,200,0.013813597036078255,0.0011901588505375442,0.0,0.0,0.0,0.0,0.30000000000000004,0.8242857142857142,1.0,0.0011901588505375442,0.009471090930378465,0.018828476031408647,0.03720838090782799,0.07267121904816198,0.11059722092639167,0.1357715385323209
Qwen/Qwen3-8B,2,atomic_control,,dev_A,A,3,score,train_unseen_first,task_blind,200,200,0.014007561805081305,0.00909131167900183,0.0,0.0,0.0,0.0,0.3644634479444606,0.8105423057954704,1.0,0.00909131167900183,0.06987116099389462,0.133622115254359,0.24515113930864682,0.41774930146932987,0.5550696537730985,0.6262384492399538
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,raw,own_target,200,200,0.02247817533462717,0.00014283193387606863,0.0,0.0,0.05,0.23,0.52,0.735,1.0,0.00014283193387606863,0.0011127989766123866,0.002161013290218935,0.0040850239682038245,0.0073669699743780116,0.010383085780444978,0.012169832479819686
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,unigram,own_target,200,200,0.0649469303070726,0.017000743826467827,0.02,0.145,0.18,0.305,0.44,0.73,1.0,0.017000743826467827,0.06443482814334468,0.08890745185994428,0.1156100011855588,0.14166987173939577,0.15716190981494266,0.16435785183217255
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,unigram,minus_bias_only,200,200,0.05901480820087112,0.0069697030829036395,0.0,0.17,0.265,0.46,0.725,0.78,1.0,0.0069697030829036395,0.044120079699292436,0.07109317559153633,0.10412070107260395,0.14368891484426685,0.17282870022177504,0.18774820569920653
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,unigram,shuffled_program_bias,200,200,0.04628646069485358,0.0064745834213658805,0.005,0.09,0.13,0.235,0.42,0.755,1.0,0.0064745834213658805,0.022078237394879015,0.028649271571484246,0.0348418772648188,0.040588816196759095,0.044117529605302706,0.045866982010368325
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional,own_target,200,200,0.057992169198253445,0.014094306095481141,0.015,0.11,0.17,0.295,0.5,0.815,1.0,0.014094306095481141,0.06452236382336005,0.09343453528895289,0.1282133126005874,0.16833848533465534,0.19679758877582848,0.21169982208267457
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional,minus_bias_only,200,200,0.06805177205622875,0.01593921264821357,0.0,0.095,0.345,0.475,0.585,0.92,1.0,0.01593921264821357,0.08384572667049373,0.12653406769072295,0.18526801513859914,0.26241018507254904,0.3179609026151454,0.3458967298502332
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional,shuffled_program_bias,200,200,0.050719059763839135,0.009616474966433659,0.01,0.07,0.135,0.27,0.555,0.735,1.0,0.009616474966433659,0.029062420890818372,0.036741089562201706,0.043621582537943404,0.05062463203441411,0.05572276313664692,0.058513848644372896
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,bigram,own_target,200,200,0.06103309637551387,0.013944958412187214,0.005,0.125,0.195,0.325,0.54,0.84,1.0,0.013944958412187214,0.07694317757671597,0.11642160252442978,0.16214095842742546,0.21116826516698228,0.2439088923960143,0.2606510056005827
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,bigram,minus_bias_only,200,200,0.09352483014718199,0.022558547872466618,0.045,0.2,0.365,0.52,0.605,1.0,1.0,0.022558547872466618,0.12225572532041752,0.188654029200273,0.2747576315628863,0.3670840681483208,0.4183492035328304,0.4396148554929532
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,bigram,shuffled_program_bias,200,200,0.038012622635708544,0.0017321471560562812,0.0,0.07,0.135,0.24,0.55,0.75,1.0,0.0017321471560562812,0.009016783415754109,0.013411990334739596,0.019265336956022696,0.0271209226446854,0.033309480574571955,0.03671653911931027
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional_bigram,own_target,200,200,0.06103309637551387,0.01394495841218714,0.005,0.125,0.195,0.325,0.54,0.84,1.0,0.01394495841218714,0.07694317757671568,0.1164216025244293,0.16214095842742482,0.2111682651669814,0.2439088923960132,0.2606510056005816
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional_bigram,minus_bias_only,200,200,0.09352483014718199,0.022558547872466538,0.045,0.2,0.365,0.52,0.605,1.0,1.0,0.022558547872466538,0.12225572532041772,0.18865402920027358,0.2747576315628874,0.36708406814832223,0.4183492035328317,0.43961485549295426
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,positional_bigram,shuffled_program_bias,200,200,0.038012622635708544,0.0017321471560562199,0.0,0.07,0.135,0.24,0.55,0.75,1.0,0.0017321471560562199,0.009016783415753906,0.013411990334739339,0.01926533695602236,0.02712092264468497,0.03330948057457147,0.03671653911930976
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,full,own_target,200,200,0.06815753314210099,0.016347469232465738,0.02,0.135,0.19,0.325,0.535,0.845,1.0,0.016347469232465738,0.08937089923615407,0.13716248792996574,0.19394737916941338,0.25282497328532894,0.2898465335917427,0.3080315168772897
