run,operation,field,degree,n,parse_rate,accuracy
q06_mask1_ce_seed0,AC1,13,4,22,0.8181818181818182,0.0
q06_mask1_ce_seed0,AC1,19,2,4,1.0,0.0
q06_mask1_ce_seed0,AC1,19,3,16,1.0,0.0
q06_mask1_ce_seed0,AC1,19,4,17,0.6470588235294118,0.0
q06_mask1_ce_seed0,AC1,23,2,6,1.0,0.0
q06_mask1_ce_seed0,AC1,23,3,25,1.0,0.0
q06_mask1_ce_seed0,AC1,23,4,17,0.8823529411764706,0.0
q06_mask1_ce_seed0,AC1,29,2,8,1.0,0.0
q06_mask1_ce_seed0,AC1,29,3,19,0.9473684210526315,0.0
q06_mask1_ce_seed0,AC1,29,4,17,0.8823529411764706,0.0
q06_mask1_ce_seed0,AX1,5,4,8,0.0,0.0
q06_mask1_ce_seed0,AX1,7,4,6,0.3333333333333333,0.0
q06_mask1_ce_seed0,AX1,13,3,23,0.08695652173913043,0.0
q06_mask1_ce_seed0,AX1,13,4,15,0.06666666666666667,0.0
q06_mask1_ce_seed0,AX1,19,2,8,0.0,0.0
q06_mask1_ce_seed0,AX1,19,3,17,0.058823529411764705,0.0
q06_mask1_ce_seed0,AX1,19,4,22,0.0,0.0
q06_mask1_ce_seed0,AX1,23,2,9,0.2222222222222222,0.1111111111111111
q06_mask1_ce_seed0,AX1,23,3,21,0.0,0.0
q06_mask1_ce_seed0,AX1,23,4,13,0.0,0.0
q06_mask1_ce_seed0,AX1,29,2,18,0.1111111111111111,0.05555555555555555
q06_mask1_ce_seed0,AX1,29,3,23,0.043478260869565216,0.043478260869565216
q06_mask1_ce_seed0,AX1,29,4,17,0.0,0.0
q06_mask1_ce_seed0,REV,5,4,7,1.0,0.42857142857142855
q06_mask1_ce_seed0,REV,7,3,1,1.0,1.0
q06_mask1_ce_seed0,REV,7,4,16,1.0,0.75
q06_mask1_ce_seed0,REV,13,2,2,1.0,0.5
q06_mask1_ce_seed0,REV,13,3,15,1.0,0.6666666666666666
q06_mask1_ce_seed0,REV,13,4,21,1.0,0.6666666666666666
q06_mask1_ce_seed0,REV,19,2,7,1.0,0.42857142857142855
q06_mask1_ce_seed0,REV,19,3,11,1.0,0.7272727272727273
q06_mask1_ce_seed0,REV,19,4,20,1.0,0.8
q06_mask1_ce_seed0,REV,23,2,10,1.0,0.5
q06_mask1_ce_seed0,REV,23,3,18,1.0,0.9444444444444444
q06_mask1_ce_seed0,REV,23,4,23,1.0,0.9130434782608695
q06_mask1_ce_seed0,REV,29,2,20,1.0,0.6
q06_mask1_ce_seed0,REV,29,3,14,1.0,0.9285714285714286
q06_mask1_ce_seed0,REV,29,4,15,1.0,0.8
q06_mask1_ce_seed0,SC2,5,3,1,1.0,0.0
q06_mask1_ce_seed0,SC2,5,4,2,1.0,0.0
q06_mask1_ce_seed0,SC2,7,3,4,1.0,0.0
q06_mask1_ce_seed0,SC2,7,4,9,1.0,0.1111111111111111
q06_mask1_ce_seed0,SC2,13,2,6,1.0,0.16666666666666666
q06_mask1_ce_seed0,SC2,13,3,16,1.0,0.0
q06_mask1_ce_seed0,SC2,13,4,14,1.0,0.0
q06_mask1_ce_seed0,SC2,19,2,15,1.0,0.06666666666666667
q06_mask1_ce_seed0,SC2,19,3,17,1.0,0.058823529411764705
q06_mask1_ce_seed0,SC2,19,4,20,1.0,0.0
q06_mask1_ce_seed0,SC2,23,2,10,1.0,0.0
q06_mask1_ce_seed0,SC2,23,3,9,1.0,0.0
q06_mask1_ce_seed0,SC2,23,4,22,1.0,0.0
q06_mask1_ce_seed0,SC2,29,2,13,1.0,0.15384615384615385
q06_mask1_ce_seed0,SC2,29,3,26,1.0,0.0
q06_mask1_ce_seed0,SC2,29,4,16,0.9375,0.0
q06_mask1_ce_seed0,SH1,5,3,3,1.0,0.0
q06_mask1_ce_seed0,SH1,5,4,7,1.0,0.0
q06_mask1_ce_seed0,SH1,7,2,2,1.0,0.0
