seed,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
83000,random,s4c-0c5f87b6afe91a85f03b8c3e,0c5f87b6afe91a85f03b8c3edeca1bd696ba3946e9813f375e64f4aa451c2826,9,1,3.4127304794841358,30.3479958122284,0.024321459745793965,-0.0
83000,random,s4c-0c80975a5da9c19428594878,0c80975a5da9c19428594878c485607eeb859b4672af72a28776742b05a8bf14,22,3,4.293254028083232,73.20429016660462,0.02442828782914054,0.9910580432954083
83000,random,s4c-0cb3ffb35f5210c12f39d2f2,0cb3ffb35f5210c12f39d2f21b9a28b742996703138e464b9650a063c0010090,3,3,3.1465774060236145,23.2563312321491,0.12027197236079852,0.5710632965085285
83000,random,s4c-0cf2581c67f6c5676025aac7,0cf2581c67f6c5676025aac794f8cd579578c23a6bb87e7616c8ca39d0cc5213,15,3,3.84962154480788,46.97528182775021,0.037405702177410086,0.9723144122973484
83000,random,s4c-0d0c74916b0df8c78efd5363,0d0c74916b0df8c78efd5363216bace094bd996f300e2734bbfef0a659e20139,3,3,4.007443934232408,55.00609153230588,0.05984652488977014,0.2767864875267164
83000,random,s4c-0d5b9770eba868e278c3ae15,0d5b9770eba868e278c3ae15122ead86332be8ac5fa59b9b04f50d3c444e0634,104,1,3.6710426721227933,39.29285407238137,0.0004088288767902605,-0.0
83000,random,s4c-0db981d67c0c90ca63a2d895,0db981d67c0c90ca63a2d8950e9e830d3ee976c20f631febe14f6852711938b5,20,2,4.1281362890787605,62.06214917864502,0.023515318305161646,0.5407582998560705
83000,random,s4c-0e24b1becad98cdc3fd108d5,0e24b1becad98cdc3fd108d5953fabd032c41564a2513346896845709f8f246d,29,2,3.8093493641052962,45.121071924759796,0.012937843945518364,0.6251292875294648
83000,random,s4c-0e483095bfdc4411a67f6e11,0e483095bfdc4411a67f6e11b307cea71ddf8f46693a746efb40bfe7c0326e0f,43,3,4.263474666329517,71.05645247040002,0.010994968821239577,0.8245493888083285
83000,random,s4c-0e49a38fbb41154fc3d36dbf,0e49a38fbb41154fc3d36dbfbccdfca5d0da4c85ff9e56720409b458f8ecd974,5,1,4.0479320514268275,57.27888469905795,0.03073426419744133,-0.0
83000,random,s4c-0e637f65bd4c90c1e6a0ec92,0e637f65bd4c90c1e6a0ec92325e631bbe55db00210677e137ead1de160ca40d,4,1,4.335021692925559,76.32661461937793,0.030048518718924232,-0.0
83000,random,s4c-0f34df06dbc8d431236db347,0f34df06dbc8d431236db34770e9d86faa541d4954dd22a4e9e20ff109c94cfd,38,2,4.314912705403755,74.80709290393533,0.013444206152904526,0.5687887961790736
83000,random,s4c-0f44f74cbfd50ae903263b98,0f44f74cbfd50ae903263b98fa51777e91241e3c7fdb96562ea55f4742d9c3ef,50,3,4.066608589096111,58.358708241463766,0.008454894572552399,0.7662403230987751
83000,random,s4c-0f5ab783efab989d58f1ced2,0f5ab783efab989d58f1ced29b174ce584ed9a022b06c4ced2cb0f5b17ec70bf,8,3,3.8649002334739735,47.69851348031402,0.06135141541038554,0.9384882145528969
83000,random,s4c-0f6eae3abc4a3e028d30098d,0f6eae3abc4a3e028d30098df070ee2c7d32fe63b5bd8e88474d47cd09d5faf8,43,1,4.321572521711786,75.30695705538263,0.008860259054737063,-0.0
83000,random,s4c-0f89d6afa4f90900b5dfa25a,0f89d6afa4f90900b5dfa25aca0803bbadb207cb8d4a6e1c8b1eb61c6c9a1c30,87,1,3.9170789748459947,50.25343861996462,0.0010651069832547794,-0.0
