split,depth,k,atomic_control,composition,delta,delta_ci95_low,delta_ci95_high,sign_flip_p
capacity_d3_train,3,83,0.8511111111111113,0.9977777777777778,0.14666666666666667,0.116811047016568,0.17652228631676534,
capacity_d3_train,3,84,0.8577777777777778,0.9977777777777778,0.13999999999999999,0.08963193402288111,0.19036806597711886,
capacity_d3_train,3,85,0.8666666666666667,0.9977777777777778,0.1311111111111111,0.07597709785670351,0.18624512436551868,
capacity_d3_train,3,86,0.8688888888888888,0.9977777777777778,0.1288888888888889,0.0782944484409321,0.1794833293368457,
capacity_d3_train,3,87,0.8722222222222222,0.9977777777777778,0.12555555555555556,0.06680902009231993,0.1843020910187912,
capacity_d3_train,3,88,0.8733333333333334,0.9977777777777778,0.12444444444444445,0.06628441154354361,0.1826044773453453,
capacity_d3_train,3,89,0.8744444444444445,0.9977777777777778,0.12333333333333334,0.06537012005915897,0.1812965466075077,
capacity_d3_train,3,90,0.8755555555555556,0.9977777777777778,0.12222222222222223,0.06834618474971946,0.176098259694725,
capacity_d3_train,3,91,0.8777777777777778,0.9977777777777778,0.12,0.06203678672582562,0.17796321327417436,
capacity_d3_train,3,92,0.8833333333333333,0.9988888888888888,0.11555555555555556,0.0699503432334262,0.16116076787768494,
capacity_d3_train,3,93,0.8877777777777777,0.9988888888888888,0.1111111111111111,0.07764603432417083,0.14457618789805138,
capacity_d3_train,3,94,0.8944444444444445,0.9988888888888888,0.10444444444444445,0.07309513248138635,0.13579375640750255,
capacity_d3_train,3,95,0.8977777777777778,1.0,0.10222222222222221,0.06774792213860714,0.1366965223058373,
capacity_d3_train,3,96,0.898888888888889,1.0,0.10111111111111111,0.06764603432417085,0.13457618789805137,
capacity_d3_train,3,97,0.9033333333333333,1.0,0.09666666666666668,0.07182528954916337,0.12150804378416999,
capacity_d3_train,3,98,0.9066666666666666,1.0,0.09333333333333334,0.07142529797423858,0.1152413686924281,
capacity_d3_train,3,99,0.91,1.0,0.09000000000000001,0.06809196464090524,0.11190803535909478,
capacity_d3_train,3,100,0.9166666666666666,1.0,0.08333333333333333,0.05849195621583002,0.10817471045083664,
capacity_d3_train,3,101,0.9211111111111111,1.0,0.07888888888888888,0.06165173884708133,0.09612603893069643,
capacity_d3_train,3,102,0.9244444444444445,1.0,0.07555555555555556,0.050258335331577156,0.10085277577953396,
capacity_d3_train,3,103,0.9255555555555555,1.0,0.07444444444444444,0.05360574617985853,0.09528314270903035,
capacity_d3_train,3,104,0.9333333333333332,1.0,0.06666666666666667,0.050105748588331125,0.0832275847450022,
capacity_d3_train,3,105,0.9366666666666666,1.0,0.06333333333333334,0.0467724152549978,0.07989425141166888,
capacity_d3_train,3,106,0.9377777777777778,1.0,0.06222222222222223,0.04498507218041467,0.07945937226402978,
capacity_d3_train,3,107,0.9433333333333334,1.0,0.056666666666666664,0.0483862076274989,0.06494712570583443,
capacity_d3_train,3,108,0.9477777777777777,1.0,0.052222222222222225,0.03498507218041469,0.06945937226402976,
capacity_d3_train,3,109,0.9511111111111111,1.0,0.04888888888888889,0.024985262612502997,0.07279251516527478,
capacity_d3_train,3,110,0.9533333333333333,1.0,0.04666666666666667,0.024758631307571912,0.06857470202576142,
capacity_d3_train,3,111,0.958888888888889,1.0,0.04111111111111111,0.023873961069303565,0.05834826115291866,
capacity_d3_train,3,112,0.9622222222222222,1.0,0.03777777777777778,0.025129167665788578,0.05042638788976698,
capacity_d3_train,3,113,0.9655555555555555,1.0,0.034444444444444444,0.029663719189167263,0.039225169699721625,
capacity_d3_train,3,114,0.9722222222222222,1.0,0.027777777777777776,0.018216327267223418,0.03733922828833214,
capacity_d3_train,3,115,0.9755555555555556,1.0,0.024444444444444446,0.0072072944026369025,0.041681594486251985,
capacity_d3_train,3,116,0.9822222222222222,1.0,0.017777777777777778,0.008216327267223418,0.027339228288332136,
capacity_d3_train,3,117,0.9833333333333334,1.0,0.016666666666666666,0.0083862076274989,0.024947125705834433,
capacity_d3_train,3,118,0.9855555555555555,1.0,0.014444444444444446,0.0048829939338900855,0.024005894954998806,
capacity_d3_train,3,119,0.9877777777777778,1.0,0.012222222222222223,0.002660771711667863,0.021783672732776583,
capacity_d3_train,3,120,0.991111111111111,1.0,0.008888888888888889,-0.0006725616216654712,0.01845033939944325,
capacity_d3_train,3,121,0.9944444444444445,1.0,0.005555555555555556,0.0007748303002783757,0.010336280810832736,
capacity_d3_train,3,122,0.9944444444444445,1.0,0.005555555555555556,0.0007748303002783757,0.010336280810832736,
capacity_d3_train,3,123,0.9966666666666667,1.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,
capacity_d3_train,3,124,0.9988888888888888,1.0,0.0011111111111111111,-0.0036696141441660687,0.005891836366388291,
capacity_d3_train,3,125,1.0,1.0,0.0,0.0,0.0,
capacity_d3_heldout,3,1,0.012222222222222223,0.14444444444444446,0.1322222222222222,0.07231990646788869,0.19212453797655574,
capacity_d3_heldout,3,2,0.021111111111111112,0.23666666666666666,0.21555555555555553,0.12701528477163115,0.3040958263394799,
capacity_d3_heldout,3,3,0.03333333333333333,0.3111111111111111,0.27777777777777773,0.17968549673653902,0.3758700588190165,
capacity_d3_heldout,3,4,0.043333333333333335,0.3711111111111111,0.3277777777777778,0.23252250188883455,0.423033053666721,
capacity_d3_heldout,3,5,0.05666666666666667,0.43111111111111117,0.3744444444444444,0.2784720547249144,0.47041683416397445,
capacity_d3_heldout,3,6,0.07444444444444444,0.47444444444444445,0.39999999999999997,0.26673862340524984,0.53326137659475,
capacity_d3_heldout,3,7,0.08888888888888889,0.5222222222222223,0.43333333333333335,0.297776376636077,0.5688902900305897,
capacity_d3_heldout,3,8,0.10111111111111111,0.5555555555555555,0.45444444444444443,0.3143275936477743,0.5945612952411146,
capacity_d3_heldout,3,9,0.11,0.5888888888888889,0.4788888888888889,0.3223611980095141,0.6354165797682637,
capacity_d3_heldout,3,10,0.11888888888888889,0.6077777777777778,0.4888888888888889,0.3213587420173645,0.6564190357604133,
capacity_d3_heldout,3,11,0.1288888888888889,0.6333333333333333,0.5044444444444444,0.3485752043541331,0.6603136845347557,
capacity_d3_heldout,3,12,0.14333333333333334,0.6611111111111111,0.5177777777777778,0.3752351809999385,0.660320374555617,
capacity_d3_heldout,3,13,0.15333333333333332,0.6944444444444443,0.5411111111111111,0.40827919543533836,0.6739430267868838,
capacity_d3_heldout,3,14,0.16333333333333333,0.7244444444444444,0.561111111111111,0.4117564796086016,0.7104657426136204,
capacity_d3_heldout,3,15,0.17333333333333334,0.7444444444444445,0.5711111111111111,0.4334627480326388,0.7087594741895835,
capacity_d3_heldout,3,16,0.1811111111111111,0.7644444444444445,0.5833333333333334,0.4382479702428551,0.7284186964238116,
capacity_d3_heldout,3,17,0.1911111111111111,0.791111111111111,0.6,0.44530825922865835,0.7546917407713416,
capacity_d3_heldout,3,18,0.20333333333333334,0.8077777777777778,0.6044444444444445,0.46166153966215273,0.7472273492267362,
capacity_d3_heldout,3,19,0.21222222222222223,0.8233333333333334,0.6111111111111112,0.46832820632881944,0.7538940158934029,
capacity_d3_heldout,3,20,0.2222222222222222,0.8344444444444444,0.6122222222222222,0.4463372557677546,0.7781071886766898,
capacity_d3_heldout,3,21,0.2333333333333333,0.84,0.6066666666666666,0.4569299556667164,0.7564033776666168,
capacity_d3_heldout,3,22,0.24111111111111114,0.8488888888888889,0.6077777777777778,0.4686430665458966,0.7469124890096589,
capacity_d3_heldout,3,23,0.2477777777777778,0.8633333333333333,0.6155555555555555,0.45364487629222683,0.7774662348188842,
capacity_d3_heldout,3,24,0.27,0.87,0.6,0.4426712782558125,0.7573287217441875,
capacity_d3_heldout,3,25,0.2811111111111111,0.8755555555555556,0.5944444444444444,0.4335959503575683,0.7552929385313205,
capacity_d3_heldout,3,26,0.29333333333333333,0.8844444444444445,0.5911111111111111,0.43568238788875296,0.7465398343334693,
capacity_d3_heldout,3,27,0.31,0.9011111111111111,0.5911111111111111,0.43701149400861344,0.7452107282136089,
capacity_d3_heldout,3,28,0.32,0.9111111111111111,0.5911111111111111,0.4334921147257587,0.7487301074964636,
capacity_d3_heldout,3,29,0.32888888888888884,0.9222222222222222,0.5933333333333334,0.4317052209158251,0.7549614457508417,
capacity_d3_heldout,3,30,0.33666666666666667,0.93,0.5933333333333334,0.44428507062831357,0.7423815960383532,
capacity_d3_heldout,3,31,0.3477777777777778,0.9355555555555556,0.5877777777777777,0.4368249110791101,0.7387306444764454,
capacity_d3_heldout,3,32,0.3633333333333333,0.9377777777777778,0.5744444444444444,0.4153101928364983,0.7335786960523906,0.25
capacity_d3_heldout,3,33,0.3811111111111111,0.9466666666666667,0.5655555555555556,0.39987738531668404,0.7312337257944271,
capacity_d3_heldout,3,34,0.3955555555555556,0.9511111111111111,0.5555555555555556,0.38659901639802585,0.7245120947130853,
capacity_d3_heldout,3,35,0.41,0.9555555555555556,0.5455555555555556,0.39056860126993265,0.7005425098411785,
capacity_d3_heldout,3,36,0.4177777777777778,0.9566666666666667,0.5388888888888889,0.3850119055897707,0.692765872188007,
capacity_d3_heldout,3,37,0.43222222222222223,0.9577777777777778,0.5255555555555556,0.36406891197252167,0.6870421991385894,
capacity_d3_heldout,3,38,0.44222222222222224,0.9577777777777778,0.5155555555555555,0.3406175888900259,0.6904935222210852,
capacity_d3_heldout,3,39,0.4511111111111111,0.9611111111111111,0.51,0.32355171504419,0.69644828495581,
capacity_d3_heldout,3,40,0.4577777777777778,0.9666666666666667,0.508888888888889,0.327221329188356,0.6905564485894219,
