split,seed,task_id,atomic_rank,composition_rank,hit32_delta,correct_mass_delta
capacity_d3_train,0,81d97aad226dcf1766c9,23,7,0,0.03384556247694377
capacity_d3_train,0,8240231080f9ffd9a906,5,21,0,-0.014948553118103797
capacity_d3_train,0,828963ec1d268fb93b20,75,1,1,0.08907259111700609
capacity_d3_train,0,82ce27e8956075da4631,120,14,1,0.02710427265620229
capacity_d3_train,0,832dab6b9aeca8fa1836,69,1,1,0.13173916625242474
capacity_d3_train,0,8648e5cbaa9f50786043,23,2,0,0.07310280214002629
capacity_d3_train,0,86518074aebc5ba85c48,79,1,1,0.20252440029328025
capacity_d3_train,0,866abeda46cdb7b29088,22,30,0,0.01642040287714419
capacity_d3_train,0,867b4da9846a2a006caf,100,18,1,0.01685626846943596
capacity_d3_train,0,88d636693dd9f9db90dd,15,22,0,0.012259110313632388
capacity_d3_train,0,8a630958d96519744048,13,47,-1,0.0015572904000289813
capacity_d3_train,0,8be11cea433363e47775,16,10,0,0.031689813952703205
capacity_d3_train,0,8c874f55e55fdae28db6,9,7,0,0.040893876622268746
capacity_d3_train,0,8cab98599b69e1497a62,43,14,1,0.015745746179328595
capacity_d3_train,0,8e1ff22f717dcffbccc6,22,13,0,0.009577548837243472
capacity_d3_train,0,8e6d0e3f32ae36d3f0e7,64,24,1,0.011084655559689207
capacity_d3_train,0,8e7c86f4a0101af777b4,61,2,1,0.05621618570982733
capacity_d3_train,0,8fb71f8e3f5998e973d1,46,1,1,0.18428334277798714
capacity_d3_train,0,91f89f2759f37dc70b29,77,11,1,0.024049821818137234
capacity_d3_train,0,9268213fc41643b992f7,62,14,1,0.017541603437379365
capacity_d3_train,0,9358a04aa24bae82b93e,39,37,0,0.00689303773113993
capacity_d3_train,0,937c364d7cf00458f25d,2,5,0,0.11127053240116357
capacity_d3_train,0,94326226811d0fa9bcca,79,9,1,0.0403943214481761
capacity_d3_train,0,9554c835de85c4f2fe28,13,33,-1,-0.006436283595407903
capacity_d3_train,0,95a7a191d221b725cbf1,30,13,0,0.04155565818342901
capacity_d3_train,0,961a6448a2916f7bb9db,36,4,1,0.15330625388659966
capacity_d3_train,0,96f7add3b2c678fd61aa,14,7,0,0.022940450491735445
capacity_d3_train,0,9797d1e3812be1630df3,64,49,0,0.0038245995493384234
capacity_d3_train,0,982cb968ec6e941fe4d2,27,6,0,0.11245424056036932
capacity_d3_train,0,985a99b03d9ca533ebec,85,3,1,0.0746197565566757
capacity_d3_train,0,991da9bcde2e0f63bf9c,48,1,1,0.1492597914687697
capacity_d3_train,0,9b2cbf5ad09b909ca18c,64,17,1,0.016879635179961112
capacity_d3_train,0,9b380f7a58cece71028f,47,16,1,0.03491790568718278
capacity_d3_train,0,9c708b0bda7ef0fbcb45,26,24,0,0.019866026769025734
capacity_d3_train,0,9cfb3ea98db55e996cbe,34,1,1,0.3001411099545647
capacity_d3_train,0,9da5c115ddb1179cc4ef,7,8,0,0.0006344516387831386
capacity_d3_train,0,9dcdf71f5c460a5d14af,19,53,-1,0.000956597285029549
capacity_d3_train,0,9e4bcaee00d8d802ad87,67,2,1,0.09859130113445294
capacity_d3_train,0,9e64533cf441957dfb51,38,23,1,0.014329235724405797
capacity_d3_train,0,9e859139091c4b335bb2,118,2,1,0.08218565226238111
capacity_d3_train,0,9ea151adbc98be4059d2,111,30,1,0.006776350856221503
capacity_d3_train,0,9eb90734af7c837c2753,4,1,0,0.08382700658228712
capacity_d3_train,0,9fde0561a60751242c80,42,15,1,0.01567307587793341
capacity_d3_train,0,a082f5d8c77f5e2afc0f,25,1,0,0.1958556401610437
capacity_d3_train,0,a30b47ed1b0a427bee25,104,11,1,0.035112759417411515
capacity_d3_train,0,a4542d280428a9a0f40c,21,7,0,0.044060481160080184
capacity_d3_train,0,a45ffddaa0fbc643fc90,53,92,0,4.453358242988256e-05
capacity_d3_train,0,a5c72a5c4841492c63d3,7,5,0,0.11182166165786729
capacity_d3_train,0,a6bebf535a853d52e077,10,13,0,0.04970232450770935
capacity_d3_train,0,a6f849a345539e017112,41,24,1,0.013914869826930536
capacity_d3_train,0,a76465f0333f320f849a,23,1,0,0.23351294793223631
capacity_d3_train,0,a767421d6734b3e2dbdf,26,4,0,0.05096038748329099
capacity_d3_train,0,a7f004bd959b6b990310,74,68,0,0.0018098731718043202
capacity_d3_train,0,a8e7d5226a4fe8ca38e6,61,10,1,0.04586019804846224
capacity_d3_train,0,a91fba4df9d806e12925,59,6,1,0.06869374280351924
capacity_d3_train,0,aa4b97a37b35020bdc8d,92,6,1,0.0335645007625723
capacity_d3_train,0,acc328f92327f16427ef,18,17,0,0.022399069048118114
capacity_d3_train,0,ad1bd7e63c7f7a3611e7,113,24,1,0.008457837305875357
capacity_d3_train,0,ad67efc49c23d3e6a074,16,2,0,0.14265692540128178
capacity_d3_train,0,aed6e99c0e877af7a9ef,79,5,1,0.055522438265129204
capacity_d3_train,0,aef4b17e772b910bacad,6,2,0,0.0826730765445601
capacity_d3_train,0,af098ebc6158bbb3e036,36,1,1,0.19053311959313649
capacity_d3_train,0,b14e2a25a8a8e9609f38,55,5,1,0.045686861805209485
capacity_d3_train,0,b18e455de8005b936a32,56,1,1,0.12435257560755776
capacity_d3_train,0,b19ab931afe758f0a963,10,14,0,0.011705051230014585
capacity_d3_train,0,b20d52dca545965af0c1,39,95,0,5.28011309783546e-05
capacity_d3_train,0,b2b056c5f4a3a0c5d0a3,110,33,0,0.007931574766709547
capacity_d3_train,0,b4a22c1c0356f3adcce2,105,11,1,0.024462278942389455
capacity_d3_train,0,babd5d1145a3f35c3c37,21,1,0,0.12136245469070575
capacity_d3_train,0,bade395a6bf28d4ca31b,75,18,1,0.00813553690660746
capacity_d3_train,0,bb32187773952d04881b,21,1,0,0.21733962350728922
capacity_d3_train,0,bba8e0d5a7b0bce7dd1b,37,12,1,0.05542973318037997
capacity_d3_train,0,bc59c9a65afbd91ee02b,79,3,1,0.0731646068090546
capacity_d3_train,0,bea14f78916bc5625501,10,16,0,0.017019920169139998
capacity_d3_train,0,bec1f4e548805c747767,37,12,1,0.021112297635044044
capacity_d3_train,0,bf45c5f6c9aed9f2d36a,116,18,1,0.017636237473642544
capacity_d3_train,0,bfdbc293300a03acf1d0,23,3,0,0.1211584383748138
capacity_d3_train,0,c1e517b879131e49124c,60,1,1,0.1464744570874243
capacity_d3_train,0,c26187e5ce6657d37d76,21,43,-1,0.004922449674805114
capacity_d3_train,0,c28bdabc51d145411928,32,4,0,0.07130796816290483
capacity_d3_train,0,c2f1566c77f1e4d913a7,71,7,1,0.03518981573425038
capacity_d3_train,0,c43f8f66c65d9e1b8467,78,26,1,0.013574552667918212
capacity_d3_train,0,c4b6cb8ef06e2acc2756,15,7,0,0.00786948144837403
capacity_d3_train,0,c5b9393938d2974e076e,99,10,1,0.03807144591527529
capacity_d3_train,0,c5bb6383daa7b07c94e7,38,8,1,0.03491428031802236
capacity_d3_train,0,c726b9fc2d058e23099d,65,6,1,0.03929957504748103
capacity_d3_train,0,c821a44a387ffb70df6a,14,25,0,-0.00947654161538431
capacity_d3_train,0,c8a3b865511811579394,37,1,1,0.11927590141155556
capacity_d3_train,0,c8cee5c34be99b7ea2a7,5,41,-1,-0.008964274154302405
capacity_d3_train,0,c9a6e7bababbe06c508d,42,22,1,0.011490818621599426
capacity_d3_train,0,ca4fe35dfed139364873,77,40,0,0.0031465843272926427
capacity_d3_train,0,cb9ca52656d17f341d77,23,42,-1,0.006363839689761999
capacity_d3_train,0,ccd25061661b6134a897,13,27,0,0.01420399441133014
capacity_d3_train,0,cd01f1950eed37c6b054,16,5,0,0.03771538630872986
capacity_d3_train,0,cdf9f93d182b0ef8f4dd,6,4,0,0.09622504436337466
capacity_d3_train,0,cf127fc53ccd63859e23,22,32,0,0.007798191409940029
capacity_d3_train,0,cfcded758d0b4eae9046,104,15,1,0.015099325560615834
capacity_d3_train,0,d1e38cd2ac20636766b1,16,16,0,0.014448560888214397
capacity_d3_train,0,d219ba1e64a28f874e59,6,15,0,-0.0033472346974826803
capacity_d3_train,0,d23e209cc74e66d7c35f,24,17,0,0.024080391730364203
