split,seed,k,n,atomic_control,composition,delta
capacity_d3_train,2,19,300,0.29333333333333333,0.7933333333333333,0.5
capacity_d3_train,0,20,300,0.3333333333333333,0.78,0.44666666666666666
capacity_d3_train,1,20,300,0.26,0.8266666666666667,0.5666666666666667
capacity_d3_train,2,20,300,0.30333333333333334,0.7933333333333333,0.49
capacity_d3_train,0,21,300,0.3566666666666667,0.7966666666666666,0.44
capacity_d3_train,1,21,300,0.26,0.8566666666666667,0.5966666666666667
capacity_d3_train,2,21,300,0.31,0.8166666666666667,0.5066666666666667
capacity_d3_train,0,22,300,0.37666666666666665,0.81,0.43333333333333335
capacity_d3_train,1,22,300,0.27666666666666667,0.86,0.5833333333333334
capacity_d3_train,2,22,300,0.31666666666666665,0.8233333333333334,0.5066666666666667
capacity_d3_train,0,23,300,0.4033333333333333,0.8133333333333334,0.41
capacity_d3_train,1,23,300,0.28,0.87,0.59
capacity_d3_train,2,23,300,0.32666666666666666,0.8433333333333334,0.5166666666666667
capacity_d3_train,0,24,300,0.42333333333333334,0.84,0.4166666666666667
capacity_d3_train,1,24,300,0.29,0.88,0.59
capacity_d3_train,2,24,300,0.3433333333333333,0.85,0.5066666666666667
capacity_d3_train,0,25,300,0.4266666666666667,0.8433333333333334,0.4166666666666667
capacity_d3_train,1,25,300,0.29333333333333333,0.8833333333333333,0.59
capacity_d3_train,2,25,300,0.36666666666666664,0.8633333333333333,0.49666666666666665
capacity_d3_train,0,26,300,0.43666666666666665,0.85,0.41333333333333333
capacity_d3_train,1,26,300,0.30666666666666664,0.8966666666666666,0.59
capacity_d3_train,2,26,300,0.37666666666666665,0.87,0.49333333333333335
capacity_d3_train,0,27,300,0.45666666666666667,0.8566666666666667,0.4
capacity_d3_train,1,27,300,0.31666666666666665,0.8966666666666666,0.58
capacity_d3_train,2,27,300,0.38666666666666666,0.88,0.49333333333333335
capacity_d3_train,0,28,300,0.46,0.8633333333333333,0.4033333333333333
capacity_d3_train,1,28,300,0.33666666666666667,0.9133333333333333,0.5766666666666667
capacity_d3_train,2,28,300,0.3933333333333333,0.8833333333333333,0.49
capacity_d3_train,0,29,300,0.46,0.87,0.41
capacity_d3_train,1,29,300,0.35333333333333333,0.9233333333333333,0.57
capacity_d3_train,2,29,300,0.4066666666666667,0.8866666666666667,0.48
capacity_d3_train,0,30,300,0.47,0.88,0.41
capacity_d3_train,1,30,300,0.3566666666666667,0.9266666666666666,0.57
capacity_d3_train,2,30,300,0.42333333333333334,0.9,0.4766666666666667
capacity_d3_train,0,31,300,0.48,0.88,0.4
capacity_d3_train,1,31,300,0.37,0.9266666666666666,0.5566666666666666
capacity_d3_train,2,31,300,0.4266666666666667,0.9133333333333333,0.4866666666666667
capacity_d3_train,0,32,300,0.48333333333333334,0.8866666666666667,0.4033333333333333
capacity_d3_train,1,32,300,0.37666666666666665,0.9366666666666666,0.56
capacity_d3_train,2,32,300,0.44333333333333336,0.9233333333333333,0.48
capacity_d3_train,0,33,300,0.4866666666666667,0.9033333333333333,0.4166666666666667
capacity_d3_train,1,33,300,0.4,0.9366666666666666,0.5366666666666666
capacity_d3_train,2,33,300,0.46,0.93,0.47
capacity_d3_train,0,34,300,0.49,0.9033333333333333,0.41333333333333333
capacity_d3_train,1,34,300,0.41333333333333333,0.9366666666666666,0.5233333333333333
capacity_d3_train,2,34,300,0.47333333333333333,0.9333333333333333,0.46
capacity_d3_train,0,35,300,0.49333333333333335,0.9066666666666666,0.41333333333333333
capacity_d3_train,1,35,300,0.43666666666666665,0.94,0.5033333333333333
capacity_d3_train,2,35,300,0.48,0.94,0.46
capacity_d3_train,0,36,300,0.51,0.91,0.4
capacity_d3_train,1,36,300,0.43666666666666665,0.9433333333333334,0.5066666666666667
capacity_d3_train,2,36,300,0.48333333333333334,0.9433333333333334,0.46
capacity_d3_train,0,37,300,0.5233333333333333,0.9166666666666666,0.3933333333333333
capacity_d3_train,1,37,300,0.44666666666666666,0.9466666666666667,0.5
capacity_d3_train,2,37,300,0.5033333333333333,0.9433333333333334,0.44
capacity_d3_train,0,38,300,0.53,0.9166666666666666,0.38666666666666666
capacity_d3_train,1,38,300,0.45666666666666667,0.9466666666666667,0.49
capacity_d3_train,2,38,300,0.5133333333333333,0.9466666666666667,0.43333333333333335
capacity_d3_train,0,39,300,0.54,0.92,0.38
capacity_d3_train,1,39,300,0.4633333333333333,0.95,0.4866666666666667
capacity_d3_train,2,39,300,0.5233333333333333,0.9466666666666667,0.42333333333333334
capacity_d3_train,0,40,300,0.5466666666666666,0.9333333333333333,0.38666666666666666
capacity_d3_train,1,40,300,0.4666666666666667,0.9566666666666667,0.49
capacity_d3_train,2,40,300,0.5266666666666666,0.9466666666666667,0.42
capacity_d3_train,0,41,300,0.5633333333333334,0.9433333333333334,0.38
capacity_d3_train,1,41,300,0.47,0.96,0.49
capacity_d3_train,2,41,300,0.5333333333333333,0.9533333333333334,0.42
capacity_d3_train,0,42,300,0.5833333333333334,0.9466666666666667,0.36333333333333334
capacity_d3_train,1,42,300,0.47333333333333333,0.96,0.4866666666666667
capacity_d3_train,2,42,300,0.5566666666666666,0.9666666666666667,0.41
capacity_d3_train,0,43,300,0.5866666666666667,0.9566666666666667,0.37
capacity_d3_train,1,43,300,0.5066666666666667,0.96,0.4533333333333333
capacity_d3_train,2,43,300,0.5666666666666667,0.9766666666666667,0.41
capacity_d3_train,0,44,300,0.5966666666666667,0.96,0.36333333333333334
capacity_d3_train,1,44,300,0.52,0.96,0.44
capacity_d3_train,2,44,300,0.5733333333333334,0.98,0.4066666666666667
capacity_d3_train,0,45,300,0.6,0.96,0.36
capacity_d3_train,1,45,300,0.5366666666666666,0.96,0.42333333333333334
capacity_d3_train,2,45,300,0.5833333333333334,0.9833333333333333,0.4
capacity_d3_train,0,46,300,0.6066666666666667,0.96,0.35333333333333333
capacity_d3_train,1,46,300,0.5433333333333333,0.96,0.4166666666666667
capacity_d3_train,2,46,300,0.5933333333333334,0.9833333333333333,0.39
capacity_d3_train,0,47,300,0.61,0.9666666666666667,0.3566666666666667
capacity_d3_train,1,47,300,0.5666666666666667,0.9633333333333334,0.39666666666666667
capacity_d3_train,2,47,300,0.6033333333333334,0.9866666666666667,0.38333333333333336
capacity_d3_train,0,48,300,0.6166666666666667,0.9666666666666667,0.35
capacity_d3_train,1,48,300,0.5733333333333334,0.9633333333333334,0.39
capacity_d3_train,2,48,300,0.62,0.9866666666666667,0.36666666666666664
capacity_d3_train,0,49,300,0.6233333333333333,0.97,0.3466666666666667
capacity_d3_train,1,49,300,0.5833333333333334,0.9666666666666667,0.38333333333333336
capacity_d3_train,2,49,300,0.6233333333333333,0.9866666666666667,0.36333333333333334
capacity_d3_train,0,50,300,0.63,0.97,0.34
capacity_d3_train,1,50,300,0.6,0.9733333333333334,0.37333333333333335
capacity_d3_train,2,50,300,0.6333333333333333,0.9866666666666667,0.35333333333333333
capacity_d3_train,0,51,300,0.6333333333333333,0.97,0.33666666666666667
capacity_d3_train,1,51,300,0.61,0.9733333333333334,0.36333333333333334
capacity_d3_train,2,51,300,0.6433333333333333,0.9866666666666667,0.3433333333333333
capacity_d3_train,0,52,300,0.64,0.97,0.33
capacity_d3_train,1,52,300,0.6166666666666667,0.9733333333333334,0.3566666666666667
capacity_d3_train,2,52,300,0.65,0.99,0.34
capacity_d3_train,0,53,300,0.65,0.9733333333333334,0.3233333333333333
capacity_d3_train,1,53,300,0.63,0.9733333333333334,0.3433333333333333
capacity_d3_train,2,53,300,0.6633333333333333,0.99,0.32666666666666666
capacity_d3_train,0,54,300,0.65,0.9766666666666667,0.32666666666666666
capacity_d3_train,1,54,300,0.6433333333333333,0.98,0.33666666666666667
capacity_d3_train,2,54,300,0.6833333333333333,0.99,0.30666666666666664
capacity_d3_train,0,55,300,0.66,0.9766666666666667,0.31666666666666665
capacity_d3_train,1,55,300,0.6533333333333333,0.9833333333333333,0.33
capacity_d3_train,2,55,300,0.6866666666666666,0.99,0.30333333333333334
capacity_d3_train,0,56,300,0.6733333333333333,0.98,0.30666666666666664
capacity_d3_train,1,56,300,0.6633333333333333,0.9833333333333333,0.32
capacity_d3_train,2,56,300,0.69,0.99,0.3
capacity_d3_train,0,57,300,0.6766666666666666,0.98,0.30333333333333334
capacity_d3_train,1,57,300,0.67,0.9833333333333333,0.31333333333333335
capacity_d3_train,2,57,300,0.6966666666666667,0.99,0.29333333333333333
capacity_d3_train,0,58,300,0.68,0.9833333333333333,0.30333333333333334
capacity_d3_train,1,58,300,0.6733333333333333,0.9833333333333333,0.31
capacity_d3_train,2,58,300,0.7,0.9933333333333333,0.29333333333333333
capacity_d3_train,0,59,300,0.69,0.9833333333333333,0.29333333333333333
capacity_d3_train,1,59,300,0.6833333333333333,0.9833333333333333,0.3
capacity_d3_train,2,59,300,0.71,0.9933333333333333,0.2833333333333333
capacity_d3_train,0,60,300,0.6966666666666667,0.9833333333333333,0.2866666666666667
capacity_d3_train,1,60,300,0.6966666666666667,0.9833333333333333,0.2866666666666667
capacity_d3_train,2,60,300,0.7166666666666667,0.9933333333333333,0.27666666666666667
capacity_d3_train,0,61,300,0.7033333333333334,0.9833333333333333,0.28
capacity_d3_train,1,61,300,0.6966666666666667,0.9833333333333333,0.2866666666666667
capacity_d3_train,2,61,300,0.7166666666666667,0.9933333333333333,0.27666666666666667
capacity_d3_train,0,62,300,0.71,0.9833333333333333,0.2733333333333333
capacity_d3_train,1,62,300,0.6966666666666667,0.9833333333333333,0.2866666666666667
capacity_d3_train,2,62,300,0.7333333333333333,0.9933333333333333,0.26
capacity_d3_train,0,63,300,0.72,0.9833333333333333,0.2633333333333333
capacity_d3_train,1,63,300,0.7033333333333334,0.9833333333333333,0.28
capacity_d3_train,2,63,300,0.7366666666666667,0.9933333333333333,0.25666666666666665
capacity_d3_train,0,64,300,0.7333333333333333,0.9833333333333333,0.25
capacity_d3_train,1,64,300,0.7066666666666667,0.9833333333333333,0.27666666666666667
capacity_d3_train,2,64,300,0.7433333333333333,0.9966666666666667,0.25333333333333335
capacity_d3_train,0,65,300,0.7366666666666667,0.9833333333333333,0.24666666666666667
capacity_d3_train,1,65,300,0.71,0.9833333333333333,0.2733333333333333
capacity_d3_train,2,65,300,0.75,0.9966666666666667,0.24666666666666667
capacity_d3_train,0,66,300,0.74,0.9833333333333333,0.24333333333333335
capacity_d3_train,1,66,300,0.7233333333333334,0.9833333333333333,0.26
capacity_d3_train,2,66,300,0.76,1.0,0.24
capacity_d3_train,0,67,300,0.7466666666666667,0.9833333333333333,0.23666666666666666
capacity_d3_train,1,67,300,0.74,0.9833333333333333,0.24333333333333335
capacity_d3_train,2,67,300,0.7733333333333333,1.0,0.22666666666666666
capacity_d3_train,0,68,300,0.75,0.9866666666666667,0.23666666666666666
capacity_d3_train,1,68,300,0.7533333333333333,0.9866666666666667,0.23333333333333334
capacity_d3_train,2,68,300,0.7766666666666666,1.0,0.22333333333333333
capacity_d3_train,0,69,300,0.7566666666666667,0.9866666666666667,0.23
capacity_d3_train,1,69,300,0.7633333333333333,0.99,0.22666666666666666
capacity_d3_train,2,69,300,0.7866666666666666,1.0,0.21333333333333335
capacity_d3_train,0,70,300,0.7566666666666667,0.9866666666666667,0.23
capacity_d3_train,1,70,300,0.77,0.99,0.22
capacity_d3_train,2,70,300,0.8033333333333333,1.0,0.19666666666666666
capacity_d3_train,0,71,300,0.76,0.9866666666666667,0.22666666666666666
capacity_d3_train,1,71,300,0.7733333333333333,0.99,0.21666666666666667
capacity_d3_train,2,71,300,0.8066666666666666,1.0,0.19333333333333333
capacity_d3_train,0,72,300,0.7633333333333333,0.99,0.22666666666666666
capacity_d3_train,1,72,300,0.7833333333333333,0.99,0.20666666666666667
capacity_d3_train,2,72,300,0.8133333333333334,1.0,0.18666666666666668
capacity_d3_train,0,73,300,0.7666666666666667,0.9933333333333333,0.22666666666666666
capacity_d3_train,1,73,300,0.79,0.9933333333333333,0.20333333333333334
capacity_d3_train,2,73,300,0.82,1.0,0.18
capacity_d3_train,0,74,300,0.7733333333333333,0.9933333333333333,0.22
capacity_d3_train,1,74,300,0.7933333333333333,0.9933333333333333,0.2
capacity_d3_train,2,74,300,0.82,1.0,0.18
