replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-08c6747601d68a94d88398f1,08c6747601d68a94d88398f1ab1cbd156a44978cd262ad60bf7a9246238497a1,103,3,0.579800698690567,1.785682506421398,3.1928750124005154e-14,0.03720281025437074
0,atomic_control,s4c-0912fbb50dcb86fd4bd23dfb,0912fbb50dcb86fd4bd23dfb13e3e441e64b17ce7cafb3087c372c7f087041c7,5,1,0.09284808009814124,1.097295021652845,0.00012422694604719765,-0.0
0,atomic_control,s4c-092243abb57655f806652629,092243abb57655f806652629c1309d6a475110843ef76a21030dcad579a62755,118,1,0.9768122201998413,2.655976065791337,1.2078294499212247e-19,-0.0
0,atomic_control,s4c-092a29421b5318d1e0012ba5,092a29421b5318d1e0012ba59f7537c72c3868e37d86d8e96413af98d3748d9e,99,3,1.1409209803995146,3.1296493840416217,2.5778474980386383e-14,0.07882312075125428
0,atomic_control,s4c-0982d8ed03b405b7c9696067,0982d8ed03b405b7c969606764f33f8da88128e95aa13e10d795e009308ac40d,10,1,1.028820799237901,2.797764762428097,0.001100746513217602,-0.0
0,atomic_control,s4c-09c28adb5cb62efc9553c95d,09c28adb5cb62efc9553c95d325e4aae875edb1d2406bbb42e4626d6acaede4c,16,2,0.6180800131923847,1.855362348666989,7.442303709744858e-06,0.01000371998521487
0,atomic_control,s4c-09dce4e1db34698add49623d,09dce4e1db34698add49623d3e58b1cf0f96686097f3927df3ca87b914552501,23,1,0.5699577893690708,1.7681924133411144,2.0009843934989266e-06,-0.0
0,atomic_control,s4c-09edd544f966995ff3d61bfe,09edd544f966995ff3d61bfe73cb305c39c769c7c1c22956deadb1adddb84084,55,3,0.4845675948560058,1.6234728590331937,1.023655905271119e-10,0.1584433873651971
0,atomic_control,s4c-0a0ff43f52b31e2a525d8c8e,0a0ff43f52b31e2a525d8c8e9d7de8a942eb2e0c0613c431becfee1e24f3532c,60,3,1.1448145989365073,3.141858798874747,1.9821107277328354e-10,0.04948499621063418
0,atomic_control,s4c-0a719d5e0a4b193539a8d33c,0a719d5e0a4b193539a8d33c417dd564bd2425b7a63dc35d8e33e4164bf5c986,4,3,0.15052342778047084,1.1624425382327241,0.00020934656212026124,0.0899514331801391
0,atomic_control,s4c-0b2d226efa53f43fa08914dd,0b2d226efa53f43fa08914dd30902b37da49a1e1c7a27c5c757db42423c2a92f,48,3,0.5645097513512937,1.7585854272254466,1.7666138824505648e-09,0.09291785306838118
0,atomic_control,s4c-0b339bd7ea9abdee1a67bc75,0b339bd7ea9abdee1a67bc75287477958111b82ded64ee01fba7abf402f0fa5e,68,3,1.2965369584884088,3.6566117178718938,2.8906383702527315e-11,0.003540383379353347
0,atomic_control,s4c-0b57e21395356f94b97a4bd9,0b57e21395356f94b97a4bd9e0038b305cc1da3c49316b5ecc6ced2438e3f528,23,1,1.165077831909061,3.206172416011798,2.223546323556558e-06,-0.0
0,atomic_control,s4c-0b631db6085ece5bbad611c9,0b631db6085ece5bbad611c9d36c35d0d7d6d15c4ff707a79d793cad8c5b1dd9,7,1,0.4746084474479328,1.607384698671973,0.00016369638324808484,-0.0
